,1,2
1,3235,4037
2,3246,4031
3,3271,4029
4,3340,4028
5,3350,4024
6,3364,4021
7,3415,4017
8,3431,4009
9,3453,4003
10,3466,4001
11,3469,4000
12,3481,3998
13,3485,3993
14,3490,3990
15,3497,3989
16,3511,3987
17,3512,3986
18,3540,3982
19,3556,3975
20,3568,3971
21,3582,3970
22,3595,3966
23,3616,3956
24,3632,3949
25,3635,3938
26,3645,3937
27,3653,3936
28,3660,3935
29,3666,3926
30,3672,3925
31,3688,3919
32,3690,3914
33,3704,3912
34,3732,3908
35,3749,3893
36,3751,3891
37,3753,3885
38,3762,3881
39,3763,3878
40,3778,3875
41,3779,3871
42,3787,3870
43,3791,3863
44,3797,3862
45,3806,3860
46,3822,3857
47,3825,3851
48,3831,3848
49,3832,3845
50,3833,3843
51,3834,3842
52,3838,3839
53,3839,3836
54,3855,3832
55,3860,3830
56,3870,3826
57,3879,3817
58,3884,3813
59,3888,3812
60,3907,3806
61,3909,3801
62,3918,3792
63,3924,3786
64,3927,3783
65,3929,3778
66,3938,3773
67,3952,3769
68,3963,3761
69,3964,3748
70,3969,3747
71,3970,3739
72,3977,3738
73,3990,3731
74,3994,3724
75,3996,3722
76,3997,3718
77,4009,3717
78,4010,3716
79,4014,3705
80,4019,3700
81,4041,3697
82,4050,3680
83,4056,3666
84,4064,3660
85,4071,3649
86,4074,3646
87,4082,3640
88,4089,3635
89,4094,3612
90,4098,3605
91,4100,3603
92,4102,3602
93,4121,3595
94,4122,3569
95,4125,3566
96,4128,3560
97,4130,3555
98,4136,3554
99,4139,3546
100,4142,3537
101,4151,3534
102,4152,3528
103,4164,3521
104,4168,3505
105,4174,3499
106,4175,3491
107,4182,3478
108,4185,3466
109,4197,3462
110,4199,3443
111,4205,3437
112,4215,3423
113,4218,3400
114,4220,3368
115,4230,3367
116,4236,3338
117,4246,3319
118,4248,3300
119,4250,3278
120,4262,3274
121,4266,3215
