,1,2,3,4
1,714,745,718,753
2,727,757,753,751
3,727,741,735,757
4,727,750,757,746
5,729,767,753,741
6,730,769,737,728
7,732,749,749,750
8,732,765,767,744
9,733,767,751,731
10,735,745,750,747
11,735,752,746,752
12,739,746,769,725
13,740,760,760,745
14,740,758,744,750
15,741,738,735,748
16,742,768,744,740
17,743,770,728,727
18,745,765,760,740
19,745,766,758,743
20,745,749,742,746
21,746,763,768,735
22,746,767,744,727
23,746,768,742,730
24,749,750,747,743
25,751,735,767,713
26,753,760,753,741
27,754,758,761,736
28,754,756,745,741
29,758,752,766,723
30,758,766,751,739
31,759,764,759,734
32,759,763,761,731
33,759,768,735,726
34,759,756,765,726
35,759,746,742,737
36,762,743,744,734
37,767,751,758,727
38,767,758,754,732
39,769,747,760,717
40,771,745,763,714
41,771,752,759,719
42,772,757,756,725
43,772,764,752,730
44,777,749,746,720
45,782,755,744,718
46,782,747,753,713
